"id","scientific","english","french","family"
"ALFL","Empidonax alnorum","Alder Flycatcher","Moucherolle des aulnes","Tyrannidae"
"AMCR","Corvus brachyrhynchos","American Crow","Corneille d'Amérique","Corvidae"
"AMGO","Spinus tristis","American Goldfinch","Chardonneret jaune","Fringillidae"
"AMPI","Anthus rubescens","American Pipit","Pipit d'Amérique","Motacillidae"
"AMRE","Setophaga ruticilla","American Redstart","Paruline flamboyante","Parulidae"
"AMRO","Turdus migratorius","American Robin","Merle d'Amérique","Turdidae"
"ATSP","Spizella arborea","American Tree Sparrow","Bruant hudsonien","Emberizidae"
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","Pic à dos rayé","Picidae"
"BANS","Riparia riparia","Bank Swallow","Hirondelle de rivage","Hirundinidae"
"BAOR","Icterus galbula","Baltimore Oriole","Oriole de Baltimore","Icteridae"
"BARS","Hirundo rustica","Barn Swallow","Hirondelle rustique","Hirundinidae"
"BAWW","Mniotilta varia","Black-and-white Warbler","Paruline noir et blanc","Parulidae"
"BBCU","Coccyzus erythropthalmus","Black-billed Cuckoo","Coulicou à bec noir","Cuculidae"
"BBMA","Pica hudsonia","Black-billed Magpie","Pie d'Amérique","Corvidae"
"BBWA","Setophaga castanea","Bay-breasted Warbler","Paruline à poitrine baie","Parulidae"
"BBWO","Picoides arcticus","Black-backed Woodpecker","Pic à dos noir","Picidae"
"BCCH","Poecile atricapillus","Black-capped Chickadee","Mésange à tête noire","Paridae"
"BEKI","Megaceryle alcyon","Belted Kingfisher","Martin-pêcheur d'Amérique","Alcedinidae"
"BGGN","Polioptila caerulea","Blue-gray Gnatcatcher","Gobemoucheron gris-bleu","Polioptilidae"
"BHCO","Molothrus ater","Brown-headed Cowbird","Vacher à tête brune","Icteridae"
"BHVI","Vireo solitarius","Blue-headed Vireo","Viréo à tête bleue","Vireonidae"
"BLBW","Setophaga fusca","Blackburnian Warbler","Paruline à gorge orangée","Parulidae"
"BLJA","Cyanocitta cristata","Blue Jay","Geai bleu","Corvidae"
"BLPW","Setophaga striata","Blackpoll Warbler","Paruline rayée","Parulidae"
"BOBO","Dolichonyx oryzivorus","Bobolink","Goglu des prés","Icteridae"
"BOCH","Poecile hudsonicus","Boreal Chickadee","Mésange à tête brune","Paridae"
"BOWA","Bombycilla garrulus","Bohemian Waxwing","Jaseur boréal","Bombycillidae"
"BRBL","Euphagus cyanocephalus","Brewer's Blackbird","Quiscale de Brewer","Icteridae"
"BRCR","Certhia americana","Brown Creeper","Grimpereau brun","Certhiidae"
"BRTH","Toxostoma rufum","Brown Thrasher","Moqueur roux","Mimidae"
"BTBW","Setophaga caerulescens","Black-throated Blue Warbler","Paruline bleue","Parulidae"
"BTNW","Setophaga virens","Black-throated Green Warbler","Paruline à gorge noire","Parulidae"
"CAWA","Cardellina canadensis","Canada Warbler","Paruline du Canada","Parulidae"
"CCSP","Spizella pallida","Clay-colored Sparrow","Bruant des plaines","Emberizidae"
"CEDW","Bombycilla cedrorum","Cedar Waxwing","Jaseur d'Amérique","Bombycillidae"
"CHSP","Spizella passerina","Chipping Sparrow","Bruant familier","Emberizidae"
"CLSW","Petrochelidon pyrrhonota","Cliff Swallow","Hirondelle à front blanc","Hirundinidae"
"CMWA","Setophaga tigrina","Cape May Warbler","Paruline tigrée","Parulidae"
"COGR","Quiscalus quiscula","Common Grackle","Quiscale bronzé","Icteridae"
"CONW","Oporornis agilis","Connecticut Warbler","Paruline à gorge grise","Parulidae"
"CORA","Corvus corax","Common Raven","Grand Corbeau","Corvidae"
"COYE","Geothlypis trichas","Common Yellowthroat","Paruline masquée","Parulidae"
"CSWA","Setophaga pensylvanica","Chestnut-sided Warbler","Paruline à flancs marron","Parulidae"
"DEJU","Junco hyemalis","Dark-eyed Junco","Junco ardoisé","Emberizidae"
"DOWO","Picoides pubescens","Downy Woodpecker","Pic mineur","Picidae"
"DUFL","Empidonax oberholseri","Dusky Flycatcher","Moucherolle sombre","Tyrannidae"
"EABL","Sialia sialis","Eastern Bluebird","Merlebleu de l'Est","Turdidae"
"EAKI","Tyrannus tyrannus","Eastern Kingbird","Tyran tritri","Tyrannidae"
"EAPH","Sayornis phoebe","Eastern Phoebe","Moucherolle phébi","Tyrannidae"
"EATO","Pipilo erythrophthalmus","Eastern Towhee","Tohi à flancs roux","Emberizidae"
"EAWP","Contopus virens","Eastern Wood-Pewee","Pioui de l'Est","Tyrannidae"
"EUST","Sturnus vulgaris","European Starling","Étourneau sansonnet","Sturnidae"
"EVGR","Coccothraustes vespertinus","Evening Grosbeak","Gros-bec errant","Fringillidae"
"FISP","Spizella pusilla","Field Sparrow","Bruant des champs","Emberizidae"
"FOSP","Passerella iliaca","Fox Sparrow","Bruant fauve","Emberizidae"
"GCFL","Myiarchus crinitus","Great Crested Flycatcher","Tyran huppé","Tyrannidae"
"GCKI","Regulus satrapa","Golden-crowned Kinglet","Roitelet à couronne dorée","Regulidae"
"GCSP","Zonotrichia atricapilla","Golden-crowned Sparrow","Bruant à couronne dorée","Emberizidae"
"GCTH","Catharus minimus","Gray-cheeked Thrush","Grive à joues grises","Turdidae"
"GRAJ","Perisoreus canadensis","Gray Jay","Mésangeai du Canada","Corvidae"
"GRCA","Dumetella carolinensis","Gray Catbird","Moqueur chat","Mimidae"
"GRSP","Ammodramus savannarum","Grasshopper Sparrow","Bruant sauterelle","Emberizidae"
"GRYE","Tringa melanoleuca","Greater Yellowlegs","Grand Chevalier","Scolopacidae"
"GWWA","Vermivora chrysoptera","Golden-winged Warbler","Paruline à ailes dorées","Parulidae"
"HAFL","Empidonax hammondii","Hammond's Flycatcher","Moucherolle de Hammond","Tyrannidae"
"HAWO","Picoides villosus","Hairy Woodpecker","Pic chevelu","Picidae"
"HETH","Catharus guttatus","Hermit Thrush","Grive solitaire","Turdidae"
"HOLA","Eremophila alpestris","Horned Lark","Alouette hausse-col","Alaudidae"
"HOSP","Passer domesticus","House Sparrow","Moineau domestique","Passeridae"
"HOWR","Troglodytes aedon","House Wren","Troglodyte familier","Troglodytidae"
"INBU","Passerina cyanea","Indigo Bunting","Passerin indigo","Cardinalidae"
"KILL","Charadrius vociferus","Killdeer","Pluvier kildir","Charadriidae"
"LALO","Calcarius lapponicus","Lapland Longspur","Plectrophane lapon","Calcariidae"
"LCSP","Ammodramus leconteii","Le Conte's Sparrow","Bruant de Le Conte","Emberizidae"
"LEFL","Empidonax minimus","Least Flycatcher","Moucherolle tchébec","Tyrannidae"
"LEYE","Tringa flavipes","Lesser Yellowlegs","Petit Chevalier","Scolopacidae"
"LISP","Melospiza lincolnii","Lincoln's Sparrow","Bruant de Lincoln","Emberizidae"
"MAWA","Setophaga magnolia","Magnolia Warbler","Paruline à tête cendrée","Parulidae"
"MAWR","Cistothorus palustris","Marsh Wren","Troglodyte des marais","Troglodytidae"
"MOBL","Sialia currucoides","Mountain Bluebird","Merlebleu azuré","Turdidae"
"MODO","Zenaida macroura","Mourning Dove","Tourterelle triste","Columbidae"
"MOWA","Geothlypis philadelphia","Mourning Warbler","Paruline triste","Parulidae"
"NAWA","Oreothlypis ruficapilla","Nashville Warbler","Paruline à joues grises","Parulidae"
"NESP","Ammodramus nelsoni","Nelson's Sparrow","Bruant de Nelson","Emberizidae"
"NOCA","Cardinalis cardinalis","Northern Cardinal","Cardinal rouge","Cardinalidae"
"NOFL","Colaptes auratus","Northern Flicker","Pic flamboyant","Picidae"
"NOPA","Setophaga americana","Northern Parula","Paruline à collier","Parulidae"
"NOWA","Parkesia noveboracensis","Northern Waterthrush","Paruline des ruisseaux","Parulidae"
"OCWA","Oreothlypis celata","Orange-crowned Warbler","Paruline verdâtre","Parulidae"
"OSFL","Contopus cooperi","Olive-sided Flycatcher","Moucherolle à côtés olive","Tyrannidae"
"OVEN","Seiurus aurocapilla","Ovenbird","Paruline couronnée","Parulidae"
"PAWA","Setophaga palmarum","Palm Warbler","Paruline à couronne rousse","Parulidae"
"PHVI","Vireo philadelphicus","Philadelphia Vireo","Viréo de Philadelphie","Vireonidae"
"PIGR","Pinicola enucleator","Pine Grosbeak","Durbec des sapins","Fringillidae"
"PISI","Spinus pinus","Pine Siskin","Tarin des pins","Fringillidae"
"PIWA","Setophaga pinus","Pine Warbler","Paruline des pins","Parulidae"
"PIWO","Dryocopus pileatus","Pileated Woodpecker","Grand Pic","Picidae"
"PUFI","Carpodacus purpureus","Purple Finch","Roselin pourpré","Fringillidae"
"RBGR","Pheucticus ludovicianus","Rose-breasted Grosbeak","Cardinal à poitrine rose","Cardinalidae"
"RBNU","Sitta canadensis","Red-breasted Nuthatch","Sittelle à poitrine rousse","Sittidae"
"RCKI","Regulus calendula","Ruby-crowned Kinglet","Roitelet à couronne rubis","Regulidae"
"RECR","Loxia curvirostra","Red Crossbill","Bec-croisé des sapins","Fringillidae"
"REVI","Vireo olivaceus","Red-eyed Vireo","Viréo aux yeux rouges","Vireonidae"
"ROPI","Columba livia","Rock Pigeon","Pigeon biset","Columbidae"
"RTHU","Archilochus colubris","Ruby-throated Hummingbird","Colibri à gorge rubis","Trochilidae"
"RUBL","Euphagus carolinus","Rusty Blackbird","Quiscale rouilleux","Icteridae"
"RUGR","Bonasa umbellus","Ruffed Grouse","Gélinotte huppée","Phasianidae"
"RWBL","Agelaius phoeniceus","Red-winged Blackbird","Carouge à épaulettes","Icteridae"
"SAVS","Passerculus sandwichensis","Savannah Sparrow","Bruant des prés","Emberizidae"
"SCTA","Piranga olivacea","Scarlet Tanager","Piranga écarlate","Cardinalidae"
"SEWR","Cistothorus platensis","Sedge Wren","Troglodyte à bec court","Troglodytidae"
"SOGR","Dendragapus fuliginosus","Sooty Grouse","Tétras fuligineux","Phasianidae"
"SOSA","Tringa solitaria","Solitary Sandpiper","Chevalier solitaire","Scolopacidae"
"SOSP","Melospiza melodia","Song Sparrow","Bruant chanteur","Emberizidae"
"SPSA","Actitis macularius","Spotted Sandpiper","Chevalier grivelé","Scolopacidae"
"SWSP","Melospiza georgiana","Swamp Sparrow","Bruant des marais","Emberizidae"
"SWTH","Catharus ustulatus","Swainson's Thrush","Grive à dos olive","Turdidae"
"TEWA","Oreothlypis peregrina","Tennessee Warbler","Paruline obscure","Parulidae"
"TOSO","Myadestes townsendi","Townsend's Solitaire","Solitaire de Townsend","Turdidae"
"TOWA","Setophaga townsendi","Townsend's Warbler","Paruline de Townsend","Parulidae"
"TRES","Tachycineta bicolor","Tree Swallow","Hirondelle bicolore","Hirundinidae"
"UPSA","Bartramia longicauda","Upland Sandpiper","Maubèche des champs","Scolopacidae"
"VATH","Ixoreus naevius","Varied Thrush","Grive à collier","Turdidae"
"VEER","Catharus fuscescens","Veery","Grive fauve","Turdidae"
"VESP","Pooecetes gramineus","Vesper Sparrow","Bruant vespéral","Emberizidae"
"WAVI","Vireo gilvus","Warbling Vireo","Viréo mélodieux","Vireonidae"
"WBNU","Sitta carolinensis","White-breasted Nuthatch","Sittelle à poitrine blanche","Sittidae"
"WCSP","Zonotrichia leucophrys","White-crowned Sparrow","Bruant à couronne blanche","Emberizidae"
"WETA","Piranga ludoviciana","Western Tanager","Piranga à tête rouge","Cardinalidae"
"WEWP","Contopus sordidulus","Western Wood-Pewee","Pioui de l'Ouest","Tyrannidae"
"WIPT","Lagopus lagopus","Willow Ptarmigan","Lagopède des saules","Phasianidae"
"WISN","Gallinago delicata","Wilson's Snipe","Bécassine de Wilson","Scolopacidae"
"WIWA","Cardellina pusilla","Wilson's Warbler","Paruline à calotte noire","Parulidae"
"WIWR","Troglodytes hiemalis","Winter Wren","Troglodyte des forêts","Troglodytidae"
"WOTH","Hylocichla mustelina","Wood Thrush","Grive des bois","Turdidae"
"WTSP","Zonotrichia albicollis","White-throated Sparrow","Bruant à gorge blanche","Emberizidae"
"WWCR","Loxia leucoptera","White-winged Crossbill","Bec-croisé bifascié","Fringillidae"
"YBFL","Empidonax flaviventris","Yellow-bellied Flycatcher","Moucherolle à ventre jaune","Tyrannidae"
"YBSA","Sphyrapicus varius","Yellow-bellied Sapsucker","Pic maculé","Picidae"
"YEWA","Setophaga petechia","Yellow Warbler","Paruline jaune","Parulidae"
"YHBL","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Carouge à tête jaune","Icteridae"
"YRWA","Setophaga coronata","Yellow-rumped Warbler","Paruline à croupion jaune","Parulidae"
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Viréo à gorge jaune","Vireonidae"
